City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Lat,Lng
Tuensang,IN,1571631472,76.2,75,52,2.53,26.24,94.81
Port Blair,IN,1571631473,84.83,75,100,13.35,11.67,92.75
Mount Gambier,AU,1571631473,60.8,63,40,5.82,-37.83,140.78
Keroka,KE,1571631474,60.17,89,0,3.94,-0.78,34.95
Shahe,CN,1571631474,62.27,37,0,5.37,36.85,114.5
Dobson,NZ,1571631475,52.82,68,67,22.62,-42.45,171.31
Shache,CN,1571631475,54.0,96,95,0.6,38.42,77.24
Namie,JP,1571631476,69.01,82,75,4.7,37.52,140.86
Tabuk,PH,1571631476,79.7,55,23,1.32,17.41,121.44
Gao,ML,1571631477,88.7,37,88,7.78,16.28,-0.04
The Valley,AI,1571631477,82.4,78,20,5.82,18.22,-63.06
Port Hawkesbury,CA,1571631477,48.0,93,1,4.7,45.62,-61.36
Podor,MR,1571631478,78.8,69,0,2.24,16.65,-14.96
Lom Sak,TH,1571631478,84.2,62,20,4.7,16.78,101.24
Golden Gate,US,1571631478,62.6,82,1,5.77,38.36,-88.2
General Roca,AR,1571631479,59.0,44,0,8.05,-39.03,-67.58
Batagay,RU,1571631479,18.5,89,99,1.92,67.65,134.64
Astana,KZ,1571631480,23.0,73,75,6.71,51.13,71.43
Karla,EE,1571631480,48.99,93,90,14.99,59.37,24.93
Rome,IT,1571631481,64.99,82,0,2.24,41.89,12.48
Marzuq,YE,1571631481,62.51,25,48,2.64,14.4,46.47
Oranzherei,RU,1571631481,44.6,75,0,6.71,45.85,47.57
Pacific Grove,US,1571631481,62.6,63,1,4.7,36.62,-121.92
Chalus,IR,1571631482,64.4,88,75,4.7,36.66,51.42
Pauini,BR,1571631483,73.2,89,90,0.96,-7.71,-67.0
Devgarh,IN,1571631483,60.8,72,0,2.82,31.13,77.45
Nikolayevsk-na-amure,RU,1571631484,49.82,65,51,6.06,53.14,140.72
Kochinda,IN,1571631484,77.0,88,75,2.24,21.73,84.35
Halifax,CA,1571631484,44.6,75,75,2.84,44.65,-63.58
Anadyr,RU,1571631485,23.0,92,90,8.95,64.73,177.51
Camacha,PT,1571631485,66.2,72,40,14.99,33.08,-16.33
Necochea,AR,1571631486,50.0,95,100,1.99,-38.55,-58.74
Tuka,HU,1571631486,48.2,93,20,3.36,47.74,21.04
Te Anau,NZ,1571631486,40.44,86,86,9.35,-45.41,167.72
Bitkine,TD,1571631487,79.03,68,100,1.72,11.98,18.21
Nikolayevka,RU,1571631487,57.3,76,0,13.67,46.73,38.57
Bermeo,ES,1571631487,51.01,93,75,3.36,43.42,-2.72
Alta Floresta,BR,1571631488,71.72,96,96,1.63,-9.87,-56.08
Knysna,ZA,1571631488,55.4,82,75,13.87,-34.04,23.05
Mmathubudukwane,BW,1571631488,71.6,19,0,2.24,-24.61,26.43
Zyryanka,RU,1571631489,15.49,90,96,9.69,65.73,150.89
Kirakira,SB,1571631489,82.7,78,83,7.63,-10.46,161.92
Atar,MR,1571631489,80.43,29,0,10.76,20.52,-13.05
Gunnedah,AU,1571631490,80.01,14,0,8.05,-30.98,150.25
Faanui,PF,1571631490,80.06,75,80,5.59,-16.48,-151.75
Ngunguru,NZ,1571631491,66.0,56,0,10.0,-35.62,174.5
Hervey Bay,AU,1571631491,80.01,44,22,23.04,-25.3,152.85
Nuuk,GL,1571631492,32.0,51,0,13.87,64.17,-51.74
Bolu,TR,1571631492,51.29,96,52,0.54,40.73,31.61
Filadelfia,PY,1571631493,75.99,61,100,12.82,-22.35,-60.04
Ruston,US,1571631493,78.01,94,1,10.29,32.52,-92.64
Laguna,BZ,1571631493,78.8,94,0,3.15,16.17,-88.94
Mitu,IR,1571631494,48.93,76,84,0.98,36.2,46.09
Conselheiro Pena,BR,1571631494,70.66,78,92,4.61,-19.17,-41.47
Richards Bay,ZA,1571631494,71.11,77,71,19.91,-28.77,32.06
Sabha,LY,1571631495,67.69,66,0,5.68,27.03,14.43
Niamey,NE,1571631495,78.8,78,0,2.24,13.52,2.11
Airai,TL,1571631495,90.23,42,11,4.09,-8.93,125.41
Kanniyakumari,IN,1571631496,78.15,86,100,9.26,8.08,77.57
Great Yarmouth,GB,1571631496,55.99,87,100,10.29,52.61,1.73
Marigot,HT,1571631496,75.97,82,99,4.27,18.23,-72.32
Zhigansk,RU,1571631497,7.08,92,39,4.23,66.77,123.37
Fairbanks,US,1571631497,35.01,74,75,4.7,64.84,-147.72
Ulaangom,MN,1571631498,33.45,80,96,10.92,49.98,92.07
Donskoye,RU,1571631498,46.4,87,0,8.95,45.45,41.98
Guerrero Negro,MX,1571631498,67.49,81,0,14.85,27.97,-114.04
Khoy,IR,1571631499,51.8,100,75,4.54,38.55,44.95
Padang,ID,1571631499,78.85,87,100,13.33,-0.92,100.36
Meaford,CA,1571631499,46.0,100,90,4.7,44.61,-80.59
Kolpashevo,RU,1571631500,21.81,65,29,8.3,58.31,82.9
Tigil,RU,1571631500,32.32,99,100,11.59,57.8,158.67
Qom,IR,1571631500,51.58,67,0,2.91,34.64,50.88
San Cristobal,HN,1571631501,67.47,86,35,4.36,14.68,-86.92
Kasane,BW,1571631501,73.4,20,0,6.93,-17.8,25.16
Zabid,YE,1571631501,60.56,55,1,0.96,14.2,44.5
Santander,PH,1571631502,87.8,74,40,11.41,9.42,123.33
Agirish,RU,1571631502,31.2,89,92,7.63,61.92,63.02
Starogard Gdanski,PL,1571631502,52.0,100,37,2.24,53.96,18.53
Barkly West,ZA,1571631503,59.0,22,0,3.36,-28.54,24.52
Sechura,PE,1571631503,62.69,89,100,10.6,-5.56,-80.82
Manzanillo,MX,1571631503,79.53,80,100,6.93,19.05,-104.32
Karlshamn,SE,1571631504,48.2,100,100,2.24,56.17,14.86
Comodoro Rivadavia,AR,1571631504,62.6,45,0,4.7,-45.87,-67.48
Nerja,ES,1571631504,59.0,93,0,2.95,36.75,-3.88
Nsanje,MZ,1571631505,71.99,87,0,3.71,-16.92,35.26
Taoudenni,ML,1571631505,82.4,24,0,7.96,22.68,-3.98
Mahajanga,MG,1571631505,80.6,54,20,11.41,-15.72,46.32
Jalu,LY,1571631506,68.64,78,3,10.56,29.03,21.55
Hatillo,PR,1571631506,79.0,94,1,5.82,18.49,-66.83
Egvekinot,RU,1571631506,14.99,80,100,13.04,66.32,-179.17
Lakatoro,VU,1571631507,86.0,94,51,10.29,-16.11,167.42
Vestmannaeyjar,IS,1571631507,46.94,89,100,18.5,63.44,-20.27
Ucluelet,CA,1571631507,52.0,91,67,1.01,48.94,-125.55
Cadillac,US,1571631508,46.4,93,1,4.09,44.25,-85.4
Gusev,RU,1571631508,52.8,89,100,3.06,54.59,22.2
Coruripe,BR,1571631508,69.29,94,0,8.97,-10.12,-36.18
Paraiso,BR,1571631509,80.6,100,0,4.7,-0.03,-51.17
Lukulu,ZM,1571631509,68.0,25,0,7.67,-14.38,23.24
Lyubech,UA,1571631509,50.77,88,7,7.54,51.7,30.66
San Ramon,NI,1571631510,66.21,97,100,3.18,12.92,-85.84
Gladstone,AU,1571631510,81.0,51,1,25.28,-23.84,151.26
Labuhan,ID,1571631511,94.29,45,97,2.33,-2.54,115.51
Kalmunai,LK,1571631511,74.73,95,100,3.02,7.42,81.82
Los Llanos de Aridane,ES,1571631511,68.0,64,75,11.41,28.66,-17.92
Mokrousovo,RU,1571631512,24.29,67,97,14.54,55.81,66.77
Kysyl-Syr,RU,1571631512,30.05,88,100,7.09,63.9,122.77
Nalut,LY,1571631513,70.95,55,67,16.15,31.86,10.98
Wismar,DE,1571631513,53.01,93,75,11.41,53.89,11.46
Kurilsk,RU,1571631513,51.4,86,68,9.26,45.23,147.88
Goderich,CA,1571631514,51.01,96,0,1.01,43.74,-81.71
Uyuni,BO,1571631514,44.54,19,33,7.2,-20.46,-66.82
Pierre,US,1571631514,48.99,93,90,4.7,44.37,-100.35
Talnakh,RU,1571631516,19.4,92,75,17.9,69.49,88.39
Vao,EE,1571631516,49.37,89,100,14.07,59.1,26.19
Deputatskiy,RU,1571631516,6.29,96,68,1.9,69.3,139.9
Mosquera,CO,1571631517,51.8,93,40,3.36,4.71,-74.23
Zaraza,VE,1571631517,73.7,92,63,4.68,9.35,-65.33
Corbelia,BR,1571631517,66.54,96,100,3.96,-24.8,-53.31
Kidero,RU,1571631517,31.62,95,39,2.46,42.19,45.96
Biltine,TD,1571631518,82.0,59,95,4.68,14.53,20.93
Huilong,CN,1571631518,63.28,75,100,3.51,31.15,106.5
Belokurikha,RU,1571631519,14.37,94,100,3.02,52.0,84.99
Punta Umbria,ES,1571631519,52.0,71,0,5.99,37.18,-6.97
Bonga,ET,1571631519,53.06,99,22,0.83,7.26,36.25
Awjilah,LY,1571631520,67.22,73,0,9.06,29.14,21.3
Assiniboia,CA,1571631520,38.89,59,9,1.12,49.63,-105.99
Birao,CF,1571631520,72.55,88,100,3.22,10.3,22.78
Cartagena,ES,1571631521,59.0,67,100,2.24,37.63,-1.0
Ambilobe,MG,1571631521,70.16,80,0,5.91,-13.19,49.05
